event,time,long,lat,speed,height,stage,tag
1583646956,4/9/2012 23:00,-121.605,38.68533,5.65884,50,preHatching,105930
1583639110,4/10/2012 0:00,-121.56233,38.61267,6.17328,160,preHatching,105923
1583646957,4/10/2012 0:00,-121.6069962,38.68516568,0,30,preHatching,105930
1583651170,4/10/2012 0:00,-121.59033,38.75767,0,30,preHatching,105936
1583639111,4/10/2012 1:00,-121.559,38.612,0,70,preHatching,105923
1583646958,4/10/2012 1:00,-121.60333,38.68383,0,30,preHatching,105930
1583639112,4/10/2012 2:00,-121.55883,38.612,0,30,preHatching,105923
1583646959,4/10/2012 2:00,-121.6039931,38.68267624,0,30,preHatching,105930
1583651171,4/10/2012 2:00,-121.5936801,38.75882704,0,30,preHatching,105936
1583639113,4/10/2012 3:00,-121.55883,38.61217,0,30,preHatching,105923
1583646960,4/10/2012 3:00,-121.60783,38.68533,0,30,preHatching,105930
1583639114,4/10/2012 16:00,-121.55733,38.60867,0,30,preHatching,105923
1583646961,4/10/2012 16:00,-121.6040091,38.68266711,0,30,preHatching,105930
1583651172,4/10/2012 16:00,-121.5948368,38.75849924,0,30,preHatching,105936
1583639115,4/10/2012 17:00,-121.5576607,38.60933761,0.51444,30,preHatching,105923
1583646962,4/10/2012 17:00,-121.60433,38.686,0,30,preHatching,105930
1583639116,4/10/2012 18:00,-121.55717,38.60967,0,30,preHatching,105923
1583646963,4/10/2012 18:00,-121.6038248,38.68283135,0,30,preHatching,105930
1583651173,4/10/2012 18:00,-121.59017,38.75817,0,30,preHatching,105936
1583639117,4/10/2012 19:00,-121.576,38.61283,0,30,preHatching,105923
1583646964,4/10/2012 19:00,-121.6083321,38.68582881,0,30,preHatching,105930
1583639118,4/10/2012 20:00,-121.57533,38.61133,0,30,preHatching,105923
1583646965,4/10/2012 20:00,-121.60583,38.68483,0,30,preHatching,105930
1583651174,4/10/2012 20:00,-121.5935,38.75867,1.02888,40,preHatching,105936
1583639119,4/10/2012 21:00,-121.57583,38.61083,0,30,preHatching,105923
1583646966,4/10/2012 21:00,-121.60583,38.68533,0,30,preHatching,105930
1583639120,4/10/2012 22:00,-121.57567,38.61183,0,30,preHatching,105923
1583646967,4/10/2012 22:00,-121.60733,38.68517,0,30,preHatching,105930
1583651175,4/10/2012 22:00,-121.5825,38.76033,9.77436,40,preHatching,105936
1583639121,4/10/2012 23:00,-121.57533,38.61117,1.02888,30,preHatching,105923
1583646968,4/10/2012 23:00,-121.603,38.6835,0.51444,30,preHatching,105930
1583639122,4/11/2012 0:00,-121.5755,38.61117,0,30,preHatching,105923
1583646969,4/11/2012 0:00,-121.6063228,38.68516183,0,30,preHatching,105930
1583651176,4/11/2012 0:00,-121.5936774,38.7588301,0,40,preHatching,105936
1583639123,4/11/2012 1:00,-121.576,38.61267,0,30,preHatching,105923
1583646970,4/11/2012 1:00,-121.6058265,38.6851741,0.51444,30,preHatching,105930
1583639124,4/11/2012 2:00,-121.57617,38.61283,0,30,preHatching,105923
1583646971,4/11/2012 2:00,-121.60733,38.68483,0,30,preHatching,105930
1583651177,4/11/2012 2:00,-121.5806658,38.7596642,0,30,preHatching,105936
1583639125,4/11/2012 3:00,-121.5589898,38.61200164,0,30,preHatching,105923
1583646972,4/11/2012 3:00,-121.60833,38.6855,0,30,preHatching,105930
1583639126,4/11/2012 16:00,-121.5755,38.61283,0,30,preHatching,105923
1583646973,4/11/2012 16:00,-121.60783,38.68517,0,30,preHatching,105930
1583651178,4/11/2012 16:00,-121.59033,38.75933,0,30,preHatching,105936
